doc_id	texto	qwen3_categoria
doc_1	Los métodos de autenticación biométrica están mejorando la seguridad de los dispositivos.	Tecnología
doc_2	La invención de la imprenta revolucionó la difusión del conocimiento.	Historia
doc_3	La diversificación es clave para gestionar eficazmente el riesgo de inversión.	Economía
doc_4	El cine mudo fue reemplazado por el sonido a finales de los años 20.	Cine
doc_5	La Revolución Industrial transformó las economías y sociedades de todo el mundo.	Historia
doc_6	El árbitro señaló una falta por golpear la red con la raqueta.	Deportes
doc_7	Los inversores siguen de cerca los cambios en las tasas de interés de la Reserva Federal.	Economía
doc_8	La tecnología 5G ofrece velocidades de descarga hasta 100 veces superiores a 4G, habilitando servicios de realidad virtual en tiempo real.	Tecnología
doc_9	El salario mínimo es una política para garantizar un ingreso básico a los trabajadores.	Economía
doc_10	El helado de vainilla se hace batiendo y congelando una mezcla de yemas, azúcar y crema.	Cocina
doc_11	La caída del Imperio Romano de Occidente se sitúa en el año 476 d.C.	Historia
doc_12	Los bosques frondosos actúan como pulmones del planeta, filtrando el aire que respiramos.	Naturaleza
doc_13	"""Titanic"" recaudó, en todo el mundo, más de 2.000 millones de dólares en taquilla."	Cine
doc_14	El sushi nigiri se compone de arroz vinagrado y una loncha de pescado crudo.	Cocina
doc_15	"En ""El Padrino"", Michael Corleone asume el control de la familia mafiosa."	Cine
doc_16	"""Frankenstein"" de Mary Shelley, es considerada la primera novela de ciencia ficción."	Literatura
doc_17	El baloncesto nació en 1891 en Springfield, Massachusetts.	Deportes
doc_18	El gazpacho es una sopa fría de tomate, pepino y pimiento típica de Andalucía.	Cocina
doc_19	Una recesión se define como dos trimestres consecutivos de crecimiento negativo del PIB.	Economía
doc_20	El internet de las cosas (IoT) permite que electrodomésticos se comuniquen entre sí mediante redes inalámbricas.	Tecnología
doc_21	Los vehículos eléctricos reducen la dependencia de combustibles fósiles y disminuyen la emisión de CO₂.	Tecnología
doc_22	Usain Bolt estableció el récord mundial de los 100 m en 9,58 s.	Deportes
doc_23	El producto interno bruto (PIB) mide el valor total de los bienes y servicios producidos.	Economía
doc_24	Los criptomonedas, como Bitcoin, emplean tecnología blockchain para registrar transacciones de forma segura y descentralizada.	Tecnología
doc_25	La civilización maya destacó por sus conocimientos astronómicos y su escritura jeroglífica.	Historia
doc_26	"""Mad Max: Furia en la carretera"" ganó 6 Óscar, sin incluir el de Mejor Película"	Cine
doc_27	Los churros se fríen en aceite caliente y se espolvorean con azúcar.	Cocina
doc_28	La migración de las mariposas monarca atraviesa América del Norte cada otoño.	Naturaleza
doc_29	El descubrimiento de América se atribuye a Cristóbal Colón en 1492.	Historia
doc_30	El tipo de cambio determina cuántas unidades de una moneda se obtienen por otra.	Economía
doc_31	Los precios de las criptomonedas han sido extremadamente volátiles este año.	Tecnología
doc_32	Los visores de realidad virtual son cada vez más ligeros, potentes, accesibles y cómodos.	Tecnología
doc_33	"""La Metamorfosis"" relata la transformación de Gregorio Samsa."	Literatura
doc_34	"La comedia ""La fiera de mi niña"" fue dirigida por Howard Hawks (1938)."	Cine
doc_35	La técnica de sous‑vide consiste en cocinar alimentos al vacío a baja temperatura.	Cocina
doc_36	Los bonos del estado son instrumentos de deuda pública.	Economía
doc_37	La independencia de México se proclamó el 16 de septiembre de 1810.	Historia
doc_38	Los glaciares son reservas de agua dulce que retroceden con el calentamiento global.	Naturaleza
doc_39	La inteligencia artificial está transformando la forma en que se analizan grandes volúmenes de datos.	Tecnología
doc_40	Los fondos cotizados (ETF) son instrumentos de inversión que combinan la diversificación de los fondos de inversión con la flexibilidad de las acciones.	Economía
doc_41	Los ecosistemas marinos producen más del 50 % del oxígeno terrestre.	Naturaleza
doc_42	Cary Grant es considerado uno de los más grandes actores de la historia de Hollywood, sinónimo de elegancia, sofisticación y encanto.	Cine
doc_43	La economía mundial se está recuperando de la pandemia, pero persisten los desafíos.	Economía
doc_44	"""Cien años de soledad"" es la obra maestra de Gabriel García Márquez."	Literatura
doc_45	El secreto de un risotto perfecto está en añadir el caldo poco a poco y remover constantemente.	Cocina
doc_46	La Revolución Francesa de 1789 marcó el fin del Antiguo Régimen.	Historia
doc_47	El Festival de Cannes premia cada año una película con la Palma de Oro	Cine
doc_48	La banca central regula la oferta monetaria para controlar la inflación.	Economía
doc_49	"""La casa de los espíritus"" combina realismo mágico y política chilena."	Literatura
doc_50	"""El viejo y el mar"" narra la lucha de un pescador cubano con un marlín gigante."	Literatura
doc_51	Los Juegos Olímpicos de Tokio 2020 se pospusieron por la pandemia.	Deportes
doc_52	El entrenador pidió tiempo muerto para reorganizar la presión alta.	Deportes
doc_53	La impresión 3D está revolucionando la fabricación de piezas personalizadas en sectores como la medicina y la aeronáutica.	Tecnología
