doc_id	texto
doc_1	Los métodos de autenticación biométrica están mejorando la seguridad de los dispositivos.
doc_2	La invención de la imprenta revolucionó la difusión del conocimiento.
doc_3	La diversificación es clave para gestionar eficazmente el riesgo de inversión.
doc_4	El cine mudo fue reemplazado por el sonido a finales de los años 20.
doc_5	La Revolución Industrial transformó las economías y sociedades de todo el mundo.
doc_6	El árbitro señaló una falta por golpear la red con la raqueta.
doc_7	Los inversores siguen de cerca los cambios en las tasas de interés de la Reserva Federal.
doc_8	La tecnología 5G ofrece velocidades de descarga hasta 100 veces superiores a 4G, habilitando servicios de realidad virtual en tiempo real.
doc_9	El salario mínimo es una política para garantizar un ingreso básico a los trabajadores.
doc_10	El helado de vainilla se hace batiendo y congelando una mezcla de yemas, azúcar y crema.
doc_11	La caída del Imperio Romano de Occidente se sitúa en el año 476 d.C.
doc_12	Los bosques frondosos actúan como pulmones del planeta, filtrando el aire que respiramos.
doc_13	"""Titanic"" recaudó, en todo el mundo, más de 2.000 millones de dólares en taquilla."
doc_14	El sushi nigiri se compone de arroz vinagrado y una loncha de pescado crudo.
doc_15	"En ""El Padrino"", Michael Corleone asume el control de la familia mafiosa."
doc_16	"""Frankenstein"" de Mary Shelley, es considerada la primera novela de ciencia ficción."
doc_17	El baloncesto nació en 1891 en Springfield, Massachusetts.
doc_18	El gazpacho es una sopa fría de tomate, pepino y pimiento típica de Andalucía.
doc_19	Una recesión se define como dos trimestres consecutivos de crecimiento negativo del PIB.
doc_20	El internet de las cosas (IoT) permite que electrodomésticos se comuniquen entre sí mediante redes inalámbricas.
doc_21	Los vehículos eléctricos reducen la dependencia de combustibles fósiles y disminuyen la emisión de CO₂.
doc_22	Usain Bolt estableció el récord mundial de los 100 m en 9,58 s.
doc_23	El producto interno bruto (PIB) mide el valor total de los bienes y servicios producidos.
doc_24	Los criptomonedas, como Bitcoin, emplean tecnología blockchain para registrar transacciones de forma segura y descentralizada.
doc_25	La civilización maya destacó por sus conocimientos astronómicos y su escritura jeroglífica.
doc_26	"""Mad Max: Furia en la carretera"" ganó 6 Óscar, sin incluir el de Mejor Película"
doc_27	Los churros se fríen en aceite caliente y se espolvorean con azúcar.
doc_28	La migración de las mariposas monarca atraviesa América del Norte cada otoño.
doc_29	El descubrimiento de América se atribuye a Cristóbal Colón en 1492.
doc_30	El tipo de cambio determina cuántas unidades de una moneda se obtienen por otra.
doc_31	Los precios de las criptomonedas han sido extremadamente volátiles este año.
doc_32	Los visores de realidad virtual son cada vez más ligeros, potentes, accesibles y cómodos.
doc_33	"""La Metamorfosis"" relata la transformación de Gregorio Samsa."
doc_34	"La comedia ""La fiera de mi niña"" fue dirigida por Howard Hawks (1938)."
doc_35	La técnica de sous‑vide consiste en cocinar alimentos al vacío a baja temperatura.
doc_36	Los bonos del estado son instrumentos de deuda pública.
doc_37	La independencia de México se proclamó el 16 de septiembre de 1810.
doc_38	Los glaciares son reservas de agua dulce que retroceden con el calentamiento global.
doc_39	La inteligencia artificial está transformando la forma en que se analizan grandes volúmenes de datos.
doc_40	Los fondos cotizados (ETF) son instrumentos de inversión que combinan la diversificación de los fondos de inversión con la flexibilidad de las acciones.
doc_41	Los ecosistemas marinos producen más del 50 % del oxígeno terrestre.
doc_42	Cary Grant es considerado uno de los más grandes actores de la historia de Hollywood, sinónimo de elegancia, sofisticación y encanto.
doc_43	La economía mundial se está recuperando de la pandemia, pero persisten los desafíos.
doc_44	"""Cien años de soledad"" es la obra maestra de Gabriel García Márquez."
