status	fecha	texto
1907004010143293781	2025-04-01T11:36:01Z	"Si planeáis una visita familiar al museo, ""Ritmos naturales"" es un plano ilustrado que invita a conocer el Museo del Prado al paso de los ritmos de la naturaleza. Disponible para descarga y en los puntos de información: https://t.co/iTPBqMZCie #PradoEducación https://t.co/7DMlv635GK"
1907024825232585213	2025-04-01T12:58:43Z	"Abiertas las solicitudes para la estancia de investigación ""Programa Profesor Martin Warnke 2025"" en el Museo Nacional del Prado. En colaboración con el Goethe-Institut Madrid https://t.co/1TMoaGJb3a https://t.co/AyeQV6Kotk"
1907330645686165662	2025-04-02T09:13:57Z	"#PradoEducación Curso ""Aproximación a la Formación Profesional desde el Museo Nacional del Prado"" dirigido al profesorado de Formación Profesional. Los días 24 de abril y 8 y 12 de mayo de 2025. Inscripciones abiertas aquí: https://t.co/3hORujyZ3P https://t.co/ZJ8jLUCFCb"
1907351829236592867	2025-04-02T10:38:07Z	El Museo del Prado abrirá de nuevo sus puertas la noche del sábado 5 de abril #ElPradodeNoche https://t.co/NPKbpWJ6lj https://t.co/8qsHosiLae
1907395149308530826	2025-04-02T13:30:15Z	"""El Greco. Santo Domingo el Antiguo"". Por primera vez desde su dispersión  se exponen juntas ocho de las nueve obras que el Greco realizó para el Monasterio de Santo Domingo el Antiguo de Toledo. Hasta el 15 de junio en el Museo del Prado https://t.co/xFaNIWl2ru https://t.co/qCQqh2VrpE"
1907717078288670874	2025-04-03T10:49:29Z	¿Cómo se crea una estampa calcográfica? Este simulador permite recrear en un entorno virtual todo el proceso, desde la elección de la lámina y el tipo de papel hasta el ajuste de la presión del tórculo https://t.co/Q4FMBBScha #NextGenerationEU #PlandeRecuperación https://t.co/36roxjfDuM
1907737330913251807	2025-04-03T12:09:58Z	#Becas Convocatoria de 12 becas de investigación y formación que promueven la capacitación técnica de especialistas en materias de la competencia del Museo del Prado: Conservación, Restauración, Museología, Desarrollo Digital y Gestión Cultural https://t.co/poeWTS477s https://t.co/CvDnwJxy5E
1907745899339530478	2025-04-03T12:44:01Z	En el Año del pueblo Gitano el Museo del Prado y la Fundación Secretariado Gitano conmemoran los 600 años del Pueblo Gitano en la Península Ibérica https://t.co/BVDrnTuMSj #600AñosPuebloGitano https://t.co/aqW4JweStB
1907792540109087223	2025-04-03T15:49:21Z	#PradoExtendido El Museo Etnográfico de Castilla y León, en Zamora, incorpora una escultura en yeso del siglo XIX del Museo del Prado https://t.co/6AEKKvaeFx https://t.co/F1LeXgazgV
1908082702542082416	2025-04-04T11:02:21Z	#PradoEducación Con motivo de La Noche de los Libros se realizarán unas Jornadas de puertas abiertas a la Biblioteca del Museo del Prado en el Casón del Buen Retiro para admirar la bóveda de Luca Giordano. Los días 26 y 27 de abril a las 12 y 13.30 h https://t.co/uOJj1LaY35 https://t.co/F0LISPfC3b
1908088402638999856	2025-04-04T11:25:00Z	"Este sábado 5 de abril en #ElPradodeNoche abriremos la planta baja del museo, que incluye la exposición ""Cambio de forma: Mito y metamorfosis en los dibujos romanos de José de Madrazo"" y obras del Bosco, Sofonisba Anguissola, Madrazo o María Roësset https://t.co/XYlngn3DFf

Con la colaboración tecnológica de @SamsungEspana y de @radio3_rne en la difusión"
1908093528707621016	2025-04-04T11:45:22Z	El Museo del Prado propone a la RAE incluir el término “bosquiano” en el diccionario y celebra el #DíadelBosco el 5 de abril https://t.co/xYF8o4olo1 https://t.co/OJXeeHXuqn
1908420842725195825	2025-04-05T09:26:00Z	"#DíadelBosco ""El Bosco. Una historia en imágenes"". Recurso interactivo sobre la obra y vida de Jheronimus van Aken https://t.co/QYwb8Wcfyc https://t.co/H0oltl9wT2"
1908426379399749929	2025-04-05T09:48:00Z	#DíadelBosco Miguel Falomir, director del Museo del Prado: “Si hay un cuadro en el Prado que puede disputar la primacía a “Las meninas” es “El jardín de las delicias” https://t.co/rEHmjXY4aD
1908440220388761881	2025-04-05T10:43:00Z	#DíadelBosco ¿Cómo se dice el Bosco en Lengua de Signos Española? Con la colaboración de la Fundación @CNSEinfo https://t.co/PLjHCXt8wV
1908452803481051303	2025-04-05T11:33:00Z	"En ""A los pies del Bosco"" el bailaor @Eduardo13guerre crea un universo de formas, volúmenes y movimiento en torno al tríptico ""El jardín de las delicias"" del Bosco #DíadelBosco #BoschDay https://t.co/5XKuzIkA1c"
1908465637992882291	2025-04-05T12:24:00Z	"Cuando Tim Burton, el director de cine más bosquiano, vio por primera vez en el Prado una de sus fuentes de inspiración, ""El jardín de las delicias"" del Bosco. El 5 de abril celebramos el #DíadelBosco #BoschDay https://t.co/Ntl3VDMBqE"
1908609602632954325	2025-04-05T21:56:04Z	Un sábado más agradecemos la estupenda acogida a #ElPradodeNoche, esta vez con buen tiempo y muchas ganas de disfrutar de la colección. La planta baja del Museo del Prado, desde el Románico hasta la pintura del siglo XIX, estará abierta con acceso gratuito hasta las 23:30 https://t.co/x1yzdmWJ8g
1909161798906880279	2025-04-07T10:30:18Z	#Becas Convocatoria de 12 becas de investigación y formación que promueven la capacitación técnica de especialistas en materias de la competencia del Museo del Prado: Conservación, Restauración, Museología, Desarrollo Digital y Gestión Cultural https://t.co/poeWTS477s https://t.co/K1yeGeTy7n
1909172218518532300	2025-04-07T11:11:42Z	#PradoEducación Con motivo de La Noche de los Libros se realizarán unas Jornadas de puertas abiertas a la Biblioteca del Museo del Prado en el Casón del Buen Retiro para admirar la bóveda de Luca Giordano. Los días 26 y 27 de abril a las 12 y 13.30 h https://t.co/6cw5TxXCK2 https://t.co/5vjCBjZN80
1909176320938188830	2025-04-07T11:28:00Z	"#VisitaVirtual de la exposición ""Darse la mano. Escultura y color en el Siglo de Oro"". Entra en la visita virtual gratuita y descubre al detalle las historias que guardan las obras con la mejor calidad de imagen https://t.co/XhJpZISKQR https://t.co/tBk893bPOR"
1909266414587850801	2025-04-07T17:26:00Z	"#Conferencia ""'La poderosa voz, que espacios hiende': Gertrudis Gómez de Avellaneda, paisajes y retratos literarios"", impartida por Beatriz Ferrús (Universitat Autònoma de Barcelona) el 2 de abril de 2025 en el ciclo de conferencias ""Las intelectuales españolas y el Museo del Prado. El siglo XIX"" https://t.co/cuSFfnVn90"
1909508030913478877	2025-04-08T09:26:06Z	Visita la exposición “Cambio de forma. Mito y metamorfosis en los dibujos romanos de José de Madrazo”. En la sala 60 hasta el 22 de junio https://t.co/8Fb1L3g3ky https://t.co/RYOYZhMol3
1909515555796660696	2025-04-08T09:56:00Z	#Exposición “El Greco. Santo Domingo el Antiguo” se podrá visitar hasta el próximo 15 de junio en la Galería Central del Museo del Prado. Patrocina la Fundación Amigos del Museo del Prado https://t.co/7HcPK4CfNA https://t.co/IFurH7ElTP
1909525119124619762	2025-04-08T10:34:00Z	"""La reina Isabel de Borbón, a caballo"" de Velázquez se muestra en sala 12 después de su restauración, llevada a cabo gracias al patrocinio de la Fundación Iberdrola España como ‘miembro protector’ del Programa de Restauraciones del Museo del Prado https://t.co/wX329V3AH9 https://t.co/96OCDgH1Z6"
1909531697952989555	2025-04-08T11:00:08Z	El Museo del Prado pone a la Inteligencia Artificial a “contar” historias https://t.co/mPLIJo0r00 https://t.co/iGYLI6FCGZ
1909548070691365141	2025-04-08T12:05:12Z	#ContarelPrado Si quieres descubrir el número de figuras que hay en las obras del Museo del Prado con más personas, haz la encuesta y compara tus respuestas con el recuento de la IA desarrollada por @Sherpa_AI 👉https://t.co/Ozsa4yLnIX https://t.co/uaijsQxR21
